epoch,cost_train,cost_test,accu_train,accu_test
  229.0000,    1.0072,    1.0070,    0.6128,    0.6083
  230.0000,    1.0055,    1.0053,    0.6122,    0.6078
  231.0000,    1.0038,    1.0035,    0.6115,    0.6074
  232.0000,    1.0018,    1.0018,    0.6106,    0.6069
  233.0000,    1.0001,    1.0000,    0.6108,    0.6065
  234.0000,    0.9985,    0.9982,    0.6101,    0.6062
  235.0000,    0.9967,    0.9964,    0.6101,    0.6058
  236.0000,    0.9949,    0.9947,    0.6098,    0.6053
  237.0000,    0.9931,    0.9929,    0.6087,    0.6050
  238.0000,    0.9913,    0.9911,    0.6084,    0.6045
  239.0000,    0.9895,    0.9893,    0.6077,    0.6042
  240.0000,    0.9877,    0.9874,    0.6078,    0.6039
  241.0000,    0.9860,    0.9856,    0.6078,    0.6038
  242.0000,    0.9841,    0.9838,    0.6073,    0.6036
  243.0000,    0.9822,    0.9820,    0.6070,    0.6034
  244.0000,    0.9803,    0.9802,    0.6062,    0.6030
  245.0000,    0.9787,    0.9784,    0.6059,    0.6028
  246.0000,    0.9769,    0.9765,    0.6057,    0.6026
  247.0000,    0.9750,    0.9747,    0.6052,    0.6023
  248.0000,    0.9731,    0.9729,    0.6053,    0.6020
  249.0000,    0.9714,    0.9711,    0.6051,    0.6016
  250.0000,    0.9697,    0.9693,    0.6044,    0.6015
  251.0000,    0.9678,    0.9675,    0.6046,    0.6017
  252.0000,    0.9661,    0.9657,    0.6032,    0.6015
  253.0000,    0.9643,    0.9639,    0.6034,    0.6014
  254.0000,    0.9626,    0.9621,    0.6032,    0.6015
  255.0000,    0.9608,    0.9604,    0.6027,    0.6016
  256.0000,    0.9589,    0.9586,    0.6026,    0.6013
  257.0000,    0.9572,    0.9569,    0.6024,    0.6012
  258.0000,    0.9555,    0.9551,    0.6022,    0.6009
  259.0000,    0.9537,    0.9534,    0.6016,    0.6006
  260.0000,    0.9522,    0.9517,    0.6016,    0.6006
  261.0000,    0.9503,    0.9500,    0.6015,    0.6004
  262.0000,    0.9487,    0.9483,    0.6014,    0.6003
  263.0000,    0.9471,    0.9466,    0.6009,    0.6001
  264.0000,    0.9454,    0.9449,    0.6000,    0.5999
  265.0000,    0.9437,    0.9433,    0.6002,    0.5998
  266.0000,    0.9421,    0.9416,    0.6001,    0.5995
  267.0000,    0.9404,    0.9400,    0.5992,    0.5994
  268.0000,    0.9391,    0.9384,    0.5994,    0.5993
  269.0000,    0.9372,    0.9368,    0.6000,    0.5991
  270.0000,    0.9357,    0.9353,    0.5995,    0.5992
  271.0000,    0.9342,    0.9337,    0.5995,    0.5991
  272.0000,    0.9325,    0.9322,    0.5987,    0.5989
  273.0000,    0.9310,    0.9306,    0.5989,    0.5988
  274.0000,    0.9297,    0.9291,    0.5986,    0.5987
  275.0000,    0.9281,    0.9276,    0.5980,    0.5985
  276.0000,    0.9265,    0.9262,    0.5984,    0.5984
  277.0000,    0.9253,    0.9247,    0.5979,    0.5984
  278.0000,    0.9238,    0.9232,    0.5977,    0.5983
  279.0000,    0.9221,    0.9218,    0.5977,    0.5982
  280.0000,    0.9210,    0.9204,    0.5974,    0.5982
  281.0000,    0.9193,    0.9190,    0.5972,    0.5981
  282.0000,    0.9181,    0.9176,    0.5975,    0.5978
  283.0000,    0.9169,    0.9163,    0.5973,    0.5976
  284.0000,    0.9156,    0.9149,    0.5969,    0.5972
  285.0000,    0.9141,    0.9136,    0.5973,    0.5969
  286.0000,    0.9127,    0.9123,    0.5965,    0.5966
  287.0000,    0.9115,    0.9110,    0.5968,    0.5963
  288.0000,    0.9102,    0.9097,    0.5970,    0.5962
  289.0000,    0.9090,    0.9084,    0.5966,    0.5960
  290.0000,    0.9078,    0.9072,    0.5967,    0.5960
  291.0000,    0.9065,    0.9059,    0.5966,    0.5958
  292.0000,    0.9053,    0.9047,    0.5966,    0.5957
  293.0000,    0.9041,    0.9035,    0.5961,    0.5955
  294.0000,    0.9029,    0.9023,    0.5960,    0.5954
  295.0000,    0.9017,    0.9011,    0.5959,    0.5957
  296.0000,    0.9004,    0.8999,    0.5960,    0.5956
  297.0000,    0.8992,    0.8987,    0.5958,    0.5956
  298.0000,    0.8981,    0.8976,    0.5954,    0.5954
  299.0000,    0.8969,    0.8964,    0.5957,    0.5952
  300.0000,    0.8958,    0.8953,    0.5959,    0.5951
  301.0000,    0.8948,    0.8942,    0.5956,    0.5951
  302.0000,    0.8936,    0.8931,    0.5952,    0.5951
  303.0000,    0.8925,    0.8920,    0.5951,    0.5951
  304.0000,    0.8915,    0.8909,    0.5950,    0.5951
  305.0000,    0.8903,    0.8898,    0.5949,    0.5951
  306.0000,    0.8892,    0.8887,    0.5952,    0.5950
  307.0000,    0.8882,    0.8877,    0.5948,    0.5950
  308.0000,    0.8871,    0.8866,    0.5949,    0.5950
  309.0000,    0.8861,    0.8856,    0.5949,    0.5949
  310.0000,    0.8851,    0.8845,    0.5949,    0.5948
  311.0000,    0.8841,    0.8835,    0.5947,    0.5948
  312.0000,    0.8831,    0.8825,    0.5948,    0.5948
  313.0000,    0.8818,    0.8815,    0.5941,    0.5946
  314.0000,    0.8811,    0.8804,    0.5941,    0.5946
  315.0000,    0.8800,    0.8794,    0.5947,    0.5945
  316.0000,    0.8791,    0.8784,    0.5947,    0.5944
  317.0000,    0.8782,    0.8774,    0.5941,    0.5945
  318.0000,    0.8769,    0.8765,    0.5941,    0.5946
  319.0000,    0.8761,    0.8755,    0.5939,    0.5944
  320.0000,    0.8750,    0.8745,    0.5941,    0.5945
  321.0000,    0.8740,    0.8735,    0.5939,    0.5946
  322.0000,    0.8730,    0.8725,    0.5938,    0.5945
  323.0000,    0.8722,    0.8716,    0.5938,    0.5943
  324.0000,    0.8713,    0.8706,    0.5942,    0.5943
  325.0000,    0.8703,    0.8696,    0.5941,    0.5943
  326.0000,    0.8692,    0.8687,    0.5939,    0.5943
  327.0000,    0.8684,    0.8677,    0.5937,    0.5942
